Περιφερειακή ενότητα,Αριθμός κρουσμάτων,Ανά 100000 πληθυσμού
Αθηνών,641,22.8
Ανατολικής Αττικής,57,14.8
Πειραιώς,56,10.1
Θεσσαλονίκης,55,5.1
Ηλείας,46,25.1
Καστοριάς,29,54
Αχαϊας,19,6
Κοζάνης,16,10.4
Ξάνθης,12,11.7
Έβρου,11,7.4
Λαρίσης,11,3.9
Ηρακλείου,9,3.1
Λέσβου,8,7.4
Σερρών,8,4.1
Μεσσηνίας,7,4.2
Ζακύνθου,5,12.9
Πιερίας,5,4
Δυτικής Αττικής,4,2.7
Κιλκίς,4,4.6
Αρκαδίας,3,3.3
Άρτας,3,4.1
Βοιωτίας,3,2.4
Ημαθίας,3,2.1
Ιωαννίνων,3,1.9
Καβάλας,3,2.1
Φθιώτιδας,3,1.8
Αργολίδας,2,2
Δωδεκανήσου,2,1.1
Εύβοιας,2,1
Μαγνησίας,2,1
Πέλλας,2,1.4
Κεφαλλονιάς,1,2.6
Κυκλάδων,1,0.9
Λακωνίας,1,1.1
Λασιθίου,1,1.3
Λευκάδας,1,4.6
Πρέβεζας,1,1.7
Ρεθύμνου,1,1.3
Ροδόπης,1,0.9
Σάμου,1,2.3
Τρικάλων,1,0.8
Φλώρινας,1,1.8
Χανίων,1,0.7
Υπό διερεύνηση,110,
