"Όνομα Δομής","Refugee Camp Name","Τελευταία Ενημέρωση","Περιγραφή Δομής","Γεωγραφικό Μήκος","Γεωγραφικό Πλάτος","Περιφέρεια","Έκταση","Χωρητικότητα","Αριθμός Φιλοξενούμενων","Επιβεβαιωμένα Κρούσματα","Έλεγχοι Δειγμάτων","Εβδομάδα εντοπισμού κρουσμάτων","Διάρκεια Καραντίνας"
"Μαλακάσας","Malakasa","25/11/2020","Δομή «ΜΑΛΑΚΑΣΑΣ», στο στρατόπεδο «ΓΕΡΑΚΙΝΗ» του Δήμου Ωρωπού της Περιφερειακής Ενότητας Ανατολικής Αττικής","23,780147","38,239957","Αττικής","Ηπειρωτική","1140","","4","100","30/03/2020-05/04/2020","14"
"","","","","","","","","","","8","","06/04/2020-12/04/2020",""
"","","","","","","","","","","4","","20/04/2020-26/04/2020","14"
"","","","","","","","","","","7","","27/04/2020-03/05/2020",""
"","","","","","","","","","","2","","07/09/2020-13/09/2020",""
"Ελευσίνας","Elefsina","25/11/2020","Δομή «ΕΛΕΥΣΙΝΑΣ», στη Σχολή Εμπορικού Ναυτικού του Δήμου Ελευσίνας της Περιφερειακής Ενότητας Δυτικής Αττικής","23,586931","38,038737","Αττικής","Ηπειρωτική","180","","","","",""
"Λαυρίου","Lavrio","25/11/2020","Δομή «ΛΑΥΡΙΟΥ», στη θέση «ΠΑΙΔΙΚΕΣ ΚΑΤΑΣΚΗΝΩΣΕΙΣ» του Δήμου Λαυρεωτικής της Περιφερειακής Ενότητας Ανατολικής Αττικής","24,055060","37,713657","Αττικής","Ηπειρωτική","269","","","","",""
"Σκαραμαγκάς","Skaramagka","25/11/2020","Δομή «ΣΚΑΡΑΜΑΓΚΑ», στη θέση «ΠΡΟΒΛΗΤΑ 4» του Δήμου Χαϊδαρίου της Περιφερειακής Ενότητας Δυτικού Τομέα Αθηνών","23,595922","38,016037","Αττικής","Ηπειρωτική","3224","","1","","14/09/2020-20/09/2020",""
"","","","","","","","","","","10","","28/09/2020-04/10/2020",""
"Ελαιώνα","Elaionas","25/11/2020","Ανοιχτή δομή φιλοξενίας στον Ελαιώνα","23,698893","37,983363","Αττικής","Ηπειρωτική","1680","","1","","07/09/2020-13/09/2020",""
"Σχιστού","Sxisto","25/11/2020","Κέντρο Φιλοξενίας Προσφύγων Σχιστού, στο Δήμο Περάματος","23,593696","37,979075","Αττικής","Ηπειρωτική","1000","","3","","07/09/2020-13/09/2020",""
"Βύρωνας","Virona","25/11/2020","Δομή Ασυνόδευτων Προσφύγων στον Βύρωνα της Περιφερειακής Ενότητας Κεντρικού Τομέα Αθηνών","23,754282","37,959245","Αττικής","Ηπειρωτική","","","22","","31/08/2020-06/09/2020",""
"Δράμας","Drama","25/11/2020","Δομή «ΔΡΑΜΑΣ» στην Αποθήκη Νο 3 της Βιομηχανικής Περιοχής του Δήμου Δράμας της Περιφερειακής Ενότητας Δράμας","24,068630","41,174275","Ανατολικής Μακεδονίας και Θράκης","Ηπειρωτική","420","","","","",""
"Καβάλας","Kavala","25/11/2020","Δομή «ΚΑΒΑΛΑΣ», στο στρατόπεδο «ΑΣΗΜΑΚΟΠΟΥΛΟΥ» στη θέση «ΠΕΡΙΓΙΑΛΙ» του Δήμου Καβάλας της Περιφερειακής Ενότητας Καβάλας","24,430031","40,945908","Ανατολικής Μακεδονίας και Θράκης","Ηπειρωτική","546","","1","","02/11/2020-08/11/2020",""
"Έβρου","Evros","25/11/2020","Κέντρο Υποδοχής και Ταυτοποίησης προσφύγων στο Φυλάκιο Έβρου στο Δήμο Ορεστιάδας","26,326979","41,580761","Ανατολικής Μακεδονίας και Θράκης","Ηπειρωτική","","","5","","17/08/2020-23/08/2020",""
"Μόριας","Moria","25/11/2020","Κ.Υ.Τ. Λέσβου","26,503554","39,134624","Βορείου Αιγαίου","Νησιωτική","2757","12767","1","","31/08/2020-06/09/2020",""
"","","","","","","","","","","2","500","31/08/2020-06/09/2020",""
"","","","","","","","","","","35","1900","07/09/2020-13/09/2020",""
"Καρά Τεπέ","Kara Tepe","25/11/2020","Κέντρο Φιλοξενίας Καρά Τεπέ Λέσβου ","26,544410","39,128556","Βορείου Αιγαίου","Νησιωτική","","1005","17","38","10/08/2020-16/08/2020","14"
"Νέα Δομή Καρά Τεπέ","New Camp Kara Tepe","25/11/2020","Νέα Δομή Φιλοξενίας Καρά Τεπέ Λέσβου","26,544478","39,128843","Βορείου Αιγαίου","Νησιωτική","1300","971","243","7064","14/09/2020-20/09/2020",""
"","","","","","","","","","","2","","21/09/2020-27/09/2020",""
"","","","","","","","","","","18","","05/10/2020-11/10/2020",""
"","","","","","","","","","","10","","16/11/2020-22/11/2020",""
"Λέσβου","Lesvos","25/11/2020","Πρόχειρη Δομή Λέσβου","26,260175","39,371738","Βορείου Αιγαίου","Νησιωτική","","","4","70","11/05/2020-17/05/2020",""
"","","","","","","","","","","3","36","29/06/2020-05/07/2020","14"
"","","","","","","","","","","1","55","10/08/2020-16/08/2020",""
"Χίου","Chios","25/11/2020","Κ.Υ.Τ. Χίου","26,092191","38,323331","Βορείου Αιγαίου","Νησιωτική","1014","3466","2","","10/08/2020-16/08/2020",""
"","","","","","","","","","","3","","17/08/2020-23/08/2020",""
"","","","","","","","","","","2","","05/10/2020-11/10/2020",""
"","","","","","","","","","","2","","12/10/2020-18/10/2020",""
"","","","","","","","","","","45","440","19/10/2020-25/10/2020",""
"Σάμου","Samos","25/11/2020","Κ.Υ.Τ. Σάμου","26,981705","37,758261","Βορείου Αιγαίου","Νησιωτική","648","4516","11","","14/09/2020-20/09/2020",""
"","","","","","","","","","","2","","21/09/2020-27/09/2020",""
"Κυλλήνης","Kyllini","25/11/2020","Δομή «ΚΥΛΛΗΝΗΣ», στην Τοπική Κοινότητα Μυρσίνης του Δήμου Ανδραβίδας-Κυλλήνης της Περιφερειακής Ενότητας Ηλείας","21,439042","37,675166","Δυτικής Ελλάδας","Ηπειρωτική","248","","","","",""
"Πύργου","Pyrgos","25/11/2020","Δομή «ΠΥΡΓΟΥ», στη θέση «ΞΕΝΩΝΕΣ ΠΥΡΓΟΥ» του Δήμου Πύργου της Περιφερειακής Ενότητας Ηλείας","21,443198","37,679821","Δυτικής Ελλάδας","Ηπειρωτική","","","","","",""
"Γρεβενών","Grevena","25/11/2020","Δομή «ΓΡΕΒΕΝΩΝ», σε ξενοδοχεία του Δήμου Γρεβενών της Περιφερειακής Ενότητας Γρεβενών","21,428334","40,085920","Δυτικής Μακεδονίας","Ηπειρωτική","","","","","",""
"Κορησού","Korisos","25/11/2020","Δομή Φιλοξενίας Κορησού στην Περιφερειακή Ενότητα Καστοριάς","21,633450","40,833298","Δυτικής Μακεδονίας","Ηπειρωτική","","","1","","21/09/2020-27/09/2020",""
"Δολιανών","Doliana","25/11/2020","Δομή «ΔΟΛΙΑΝΩΝ», στην Εθνική Οδό Καλπακίου-Συνόρων του Δήμου Πωγωνίου της Περιφερειακής Ενότητας Ιωαννίνων","20,578459","39,895388","Ηπείρου","Ηπειρωτική","129","","","","",""
"Κατσικά","Katsikas","25/11/2020","Δομή «ΚΑΤΣΙΚΑ», στην Δημοτική Κοινότητα Κατσικά του Δήμου Ιωαννίνων της Περιφερειακής Ενότητας Ιωαννίνων","20,902004","39,608386","Ηπείρου","Ηπειρωτική","1029","","1","","05/10/2020-11/10/2020",""
"","","","","","","","","","","3","","16/11/2020-22/11/2020",""
"","","","","","","","","","","12","","23/11/2020-29/11/2020",""
"Φιλλιπιάδας","Fillipiada","25/11/2020","Δομή «ΦΙΛΙΠΠΙΑΔΑΣ», στο στρατόπεδο «ΠΕΤΡΟΠΟΥΛΑΚΗ» του Δήμου Ζηρού της Περιφερειακής Ενότητας Πρέβεζας","20,873112","39,227629","Ηπείρου","Ηπειρωτική","625","","","","",""
"Αγία Ελένη","Agia Eleni","25/11/2020","Δομή φιλοξενίας ""ΑΓΙΑ ΕΛΕΝΗ"", Ιωάννινα","20,649267","39,754265","Ηπείρου","Ηπειρωτική","504","370","9","50","07/09/2020-13/09/2020",""
"Βόλου","Volos","25/11/2020","Δομή «ΒΟΛΟΥ», στις εγκαταστάσεις «ΜΟΖΑΣ» του Δήμου Βόλου της Περιφερειακής Ενότητας Μαγνησίας","22,968383","39,371438","Θεσσαλίας","Ηπειρωτική","150","","3","","05/10/2020-11/10/2020",""
"Κουτσόχερου","Koutsoxero","25/11/2020","Δομή «ΚΟΥΤΣΟΧΕΡΟΥ», στο στρατόπεδο «ΕΥΘΥΜΙΟΠΟΥΛΟΥ» του Δήμου Λαρισαίων της Περιφερειακής Ενότητας Λάρισας","22,249392","39,612663","Θεσσαλίας","Ηπειρωτική","1618","","10","","14/09/2020-20/09/2020",""
"","","","","","","","","","","2","","21/09/2020-27/09/2020",""
"","","","","","","","","","","1","","28/09/2020-04/10/2020",""
"","","","","","","","","","","1","","05/10/2020-11/10/2020",""
"Καστρί","Kastri","25/11/2020","Δομή Φιλοξενίας Ξενοδοχείο Καστρί Λουτρό του Δήμου Τεμπών","22,681203","39,964161","Θεσσαλίας","Ηπειρωτική","","","3","","28/09/2020-04/10/2020",""
"Αλεξάνδρειας","Alexandreia","25/11/2020","Δομή «ΑΛΕΞΑΝΔΡΕΙΑΣ»,στο στρατόπεδο «ΤΧΜ (ΜΧ) Γ. ΠΕΛΑΓΟΥ» του Δήμου Αλεξάνδρειας της Περιφερειακής Ενότητας Ημαθίας","22,454453","40,635392","Κεντρικής Μακεδονίας","Ηπειρωτική","868","","4","","14/09/2020-20/09/2020",""
"Βαγιοχωρίου","Vagioxori","25/11/2020","Δομή «ΒΑΓΙΟΧΩΡΙΟΥ», στην Τοπική Κοινότητας Νυμφόπετρας του Δήμου Βόλβης της Περιφερειακής Ενότητας Θεσσαλονίκης","23,378828","40,713382","Κεντρικής Μακεδονίας","Ηπειρωτική","","","","","",""
"Λουτρά Βαγιοχωρίου","Loutra Vagioxori","25/11/2020","Δομή «ΛΟΥΤΡΑ ΒΑΓΙΟΧΩΡΙΟΥ», σε ξενοδοχεία του Δήμου Βόλβης της Περιφερειακής Ενότητας Θεσσαλονίκης","23,381415","40,711128","Κεντρικής Μακεδονίας","Ηπειρωτική","1000","","","","",""
"Βέροιας","Veroia","25/11/2020","Δομή «ΒΕΡΟΙΑΣ», στο στρατόπεδο «ΑΡΜΑΤΟΛΟΥ ΚΟΚΚΙΝΟΥ» του Δήμου Βέροιας της Περιφερειακής Ενότητας Ημαθίας","22,250165","40,488546","Κεντρικής Μακεδονίας","Ηπειρωτική","335","","","","",""
"Κάτω Μηλιάς","Kato Milia","25/11/2020","Δομή «ΚΑΤΩ ΜΗΛΙΑΣ», στην Τοπική Κοινότητα Μηλιάς του Δήμου Κατερίνης της Περιφερειακής Ενότητας Πιερίας","22,366973","40,255479","Κεντρικής Μακεδονίας","Ηπειρωτική","340","","","","",""
"Λαγκαδίκιων","Lagkadikia","25/11/2020","Δομή «ΛΑΓΚΑΔΙΚΙΩΝ», στο στρατόπεδο «ΒΟΓΙΑΤΖΟΓΛΟΥ» του Δήμου Λαγκαδά της Περιφερειακής Ενότητας Θεσσαλονίκης","23,247865","40,627672","Κεντρικής Μακεδονίας","Ηπειρωτική","456","","","","",""
"Πολυκάστρου","Polykastro","25/11/2020","Δομή «ΠΟΛΥΚΑΣΤΡΟΥ», στη θέση «ΝΕΑ ΚΑΒΑΛΑ» του Δήμου Παιονίας της Περιφερειακής Ενότητας Κιλκίς","22,618496","40,987432","Κεντρικής Μακεδονίας","Ηπειρωτική","1062","","1","500","01/06/2020-07/06/2020","14"
"","","","","","","","","","","13","","05/10/2020-11/10/2020",""
"Σερρών","Serres","25/11/2020","Δομή «ΣΕΡΡΩΝ», στη θέση «ΠΡΩΗΝ ΓΕΩΡΓΙΚΗ ΣΧΟΛΗ» του Δήμου Σερρών της Περιφερειακής Ενότητας Σερρών","23,542153","41,075354","Κεντρικής Μακεδονίας","Ηπειρωτική","652","","","","",""
"Διαβατών","Diavata","25/11/2020","Κέντρο Υποδοχής και Ταυτοποίησης προσφύγων, στο πρώην στρατόπεδο Αναγνωστοπούλου των Διαβατών Θεσσαλονίκης","22,863638","40,701337","Κεντρικής Μακεδονίας","Ηπειρωτική","936","","","","",""
"Θεσσαλονίκης","Thessaloniki","25/11/2020","Ξενοδοχείο Φιλοξενίας Προσφύγων και Μεταναστών στην Θεσσαλονίκη","22,942603","40,640076","Κεντρικής Μακεδονίας","Ηπειρωτική","","","1","","03/08/2020-09/08/2020",""
"Λέρου","Leros","25/11/2020","Κ.Υ.Τ. Λέρου","26,848798","37,140984","Νοτίου Αιγαίου","Νησιωτική","860","1039","1","","14/09/2020-20/09/2020",""
"ΠΙΚΠΑ Λέρου","PIKPA Leros","25/11/2020","ΠΙΚΠΑ Λέρου","26,851232","37,133783","Νοτίου Αιγαίου","Νησιωτική","120","56","","","",""
"Κω","Kos","25/11/2020","Κ.Υ.Τ. Κω","27,165718","36,856782","Νοτίου Αιγαίου","Νησιωτική","816","1318","","","",""
"Ρόδου & Τήλου","Rodos & Tilos","25/11/2020","Κ.Υ.Τ. Ρόδου και Τήλου","28,211369","36,436251","Νοτίου Αιγαίου","Νησιωτική","81","64","7","","24/08/2020-30/08/2020",""
"","","","","","","","","","","4","","14/09/2020-20/09/2020",""
"Σητείας","Sitia","25/11/2020","Πρόχειρη Δομή  Σητείας στην Περιφερειακή Ενότητα Λασιθίου","26,097811","35,206300","Κρήτης","Νησιωτική","","","2","","14/09/2020-20/09/2020",""
"Λευκάδα","Lefkada","25/11/2020","Παλιό Θέατρο Λευκάδας","20,704560","38,835453","Ιονίων Νήσων","Νησιωτική","","","7","35","09/11/2020-15/11/2020",""
"Κρανίδι","Kranidi","25/11/2020","Δομή φιλοξενίας «ΚΡΑΝΙΔΙ»","23,158373","37,378969","Πελλοπονήσου","Ηπειρωτική","","","148","475","20/04/2020-26/04/2020","15"
"","","","","","","","","","","3","125","18/05/2020-24/05/2020","15"
"","","","","","","","","","","11","","21/09/2020-27/09/2020",""
"Τρίπολη","Tripoli","25/11/2020","«Αναπτυξιακή Πάρνωνα ΑΟΤΑ»  για τις ανάγκες του έργου ESTIA","22,861894","37,166775","Πελλοπονήσου","Ηπειρωτική","","","2","","26/10/2020-01/11/2020",""
"Θερμοπυλών","Thermopyles","25/11/2020","Δομή «ΘΕΡΜΟΠΥΛΩΝ», στην Τοπική Κοινότητα Θερμοπυλών του Δήμου Λαμιέων της Περιφερειακής Ενότητας Φθιώτιδος","22,527582","38,793176","Στερεάς Ελλάδας","Ηπειρωτική","550","","","","",""
"Θήβας","Thiva","25/11/2020","Δομή «ΘΗΒΑΣ», στη θέση «ΚΛΩΣΤΗΡΙΟ ΣΑΚΙΡΟΓΛΟΥ» του Δήμου Θηβαίων της Περιφερειακής Ενότητας Βοιωτίας ","23,331725","38,282406","Στερεάς Ελλάδας","Ηπειρωτική","992","","6","","21/09/2020-27/09/2020",""
"Οινόφυτων","Oinofyta","25/11/2020","Δομή «ΟΙΝΟΦΥΤΩΝ», στη θέση «ΠΑΛΑΙΟ ΕΡΓΟΣΤΑΣΙΟ» του Δήμου Τανάγρας της Περιφερειακής Ενότητας Βοιωτίας","23,618824","38,323607","Στερεάς Ελλάδας","Ηπειρωτική","565","","2","18","31/08/2020-06/09/2020",""
