"Χρονική σήμανση","Διεύθυνση ηλεκτρονικού ταχυδρομείου","Ημερομηνία Αναφοράς","Νέες Δειγματοληψίες","Νοσηλευόμενοι (Τρέχων αριθμός)","Νοσηλευόμενοι εκ των οποίων Θετικοί","Νοσηλευόμενοι εκ των οποίων Αρνητικοί","Νοσηλευόμενοι εν Αναμονή Αποτελεσμάτων","Νέα Εξιτήρια","Σε κατ' οίκον περιορισμό (Τρέχων αριθμός)","Νέες Δειγματοληψίες","Νοσηλευόμενοι (Τρέχων αριθμός)","Νοσηλευόμενοι εκ των οποίων Θετικοί","Νοσηλευόμενοι εκ των οποίων Αρνητικοί","Νοσηλευόμενοι εν Αναμονή Αποτελεσμάτων","Νέα Εξιτήρια","Σε κατ' οίκον περιορισμό (Τρέχων αριθμός)","Νέες Δειγματοληψίες","Νοσηλευόμενοι (Τρέχων αριθμός)","Νοσηλευόμενοι εκ των οποίων Θετικοί","Νοσηλευόμενοι εκ των οποίων Αρνητικοί","Νοσηλευόμενοι εν Αναμονή Αποτελεσμάτων","Νέα Εξιτήρια","Σε κατ' οίκον περιορισμό (Τρέχων αριθμός)","Νέες Δειγματοληψίες","Νοσηλευόμενοι (Τρέχων αριθμός)","Νοσηλευόμενοι εκ των οποίων Θετικοί","Νοσηλευόμενοι εκ των οποίων Αρνητικοί","Νοσηλευόμενοι εν Αναμονή Αποτελεσμάτων","Νέα Εξιτήρια","Σε κατ' οίκον περιορισμό (Τρέχων αριθμός)","Νέες Δειγματοληψίες","Νοσηλευόμενοι (Τρέχων αριθμός)","Νοσηλευόμενοι εκ των οποίων Θετικοί","Νοσηλευόμενοι εκ των οποίων Αρνητικοί","Νοσηλευόμενοι εν Αναμονή Αποτελεσμάτων","Νέα Εξιτήρια","Σε κατ' οίκον περιορισμό (Τρέχων αριθμός)","Νοσηλευόμενοι σε ΜΕΘ (Τρέχων Αριθμός - Μποδοσάκειο)","Συνολικοί Έλεγχοι Δειγμάτων","Συνολικά Θετικά Δείγματα","Συνολικά Αρνητικά Δείγματα","Συνολικοί Θάνατοι"
"12/05/2020 12:55:42 π.μ.","litsios.apo@gmail.com","11/05/2020","18","10","0","8","2","0","4","14","4","1","0","3","0","0","8","2","0","2","0","0","0","3","0","0","0","0","0","2","4","5","0","0","5","0","1","1","2205","153","1894","27"
"12/05/2020 12:50:56 π.μ.","litsios.apo@gmail.com","17/04/2020","17","13","5","0","8","2","11","4","10","8","0","2","0","0","10","12","1","10","1","0","0","0","2","1","0","1","0","0","2","4","0","0","4","0","0","1","1273","150","1011","23"
"12/05/2020 1:09:27 π.μ.","litsios.apo@gmail.com","18/04/2020","10","19","5","0","14","0","10","4","10","8","0","2","0","0","3","12","1","11","0","0","0","1","1","0","0","1","2","0","0","2","0","0","2","2","0","1","1291","150","1057","23"
"12/05/2020 8:20:53 π.μ.","litsios.apo@gmail.com","19/04/2020","14","12","4","0","8","1","10","6","11","7","0","4","0","0","0","9","1","8","0","3","0","1","2","0","0","2","0","0","0","1","0","0","1","1","0","2","1312","150","1077","24"
"12/05/2020 7:52:48 μ.μ.","litsios.apo@gmail.com","12/05/2020","20","10","0","6","4","0","4","19","2","1","0","1","2","","9","3","0","1","2","0","0","5","0","0","0","0","0","3","2","1","0","0","1","4","2","1","2260","153","1927","27"
"12/05/2020 9:42:10 μ.μ.","litsios.apo@gmail.com","20/04/2020","12","14","5","3","6","0","9","4","13","7","0","6","0","0","11","8","1","7","0","1","0","0","1","0","0","1","0","0","2","1","0","0","1","0","0","2","1341","150","1096","25"
"12/05/2020 10:11:05 μ.μ.","litsios.apo@gmail.com","21/04/2020","25","17","5","8","4","0","9","6","11","7","0","4","2","0","31","11","1","4","6","0","0","0","1","0","0","1","0","0","5","3","0","0","3","0","2","2","1408","150","1138","26"
"13/05/2020 6:45:22 μ.μ.","litsios.apo@gmail.com","13/05/2020","19","10","0","6","4","0","4","6","3","1","0","2","0","0","10","5","0","0","5","0","0","3","0","0","0","0","0","0","3","3","0","0","3","0","3","1","2301","153","1954","27"
"14/05/2020 8:21:49 μ.μ.","test@test.com","05/05/2020","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16/05/2020 8:43:13 π.μ.","litsios.apo@gmail.com","15/05/2020","19","8","0","6","2","3","3","14","4","1","0","3","0","0","13","5","0","3","2","0","0","7","1","0","0","1","0","0","1","1","0","0","1","0","1","1","2380","153","2046","27"
"16/05/2020 8:51:31 π.μ.","litsios.apo@gmail.com","14/05/2020","12","9","0","8","1","2","3","6","4","1","0","3","0","0","0","3","0","3","0","2","0","6","0","0","0","0","0","0","1","0","0","0","0","3","1","1","2326","153","2023","27"
"16/05/2020 9:40:57 π.μ.","litsios.apo@gmail.com","22/04/2020","27","18","6","8","4","0","9","11","11","7","0","4","0","1","18","10","1","8","1","1","0","4","1","0","0","1","0","4","4","2","0","0","2","1","2","2","1472","151","1210","26"
"16/05/2020 9:57:54 π.μ.","litsios.apo@gmail.com","23/04/2020","22","18","6","8","4","0","6","6","10","8","0","2","1","0","25","7","1","5","1","4","0","0","0","0","0","0","1","0","3","1","0","0","1","1","2","2","1528","153","1262","26"
