Γεωγραφικό Διαμέρισμα,Περιφέρεια,county_normalized,county,county_en,pop_11,lat,lng,Πρωτεύουσα,cases,hospitalized,dead,critical,recovered,notes
Αττική,Αττικής,ΑΓΙΟ ΟΡΟΣ,Άγιο Όρος,Mount Athos,,,,,,,,,,
Αττική,Αττικής,ΑΘΗΝΩΝ,Αθηνών,Athens Prefecture,2641511,37.9838,23.7275,Αθήνα,1378.0,,76.0,,,
Στερεά Ελλάδα,Δυτικής Ελλάδας,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,Αιτωλοακαρνανίας,Aetolia-Acarnania,210802,,,Μεσολόγγι,,,,,,
Αττική,Αττικής,ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,Αν. Αττικής,East Attica,502348,,,,57.0,,2.0,,,
Πελοπόννησος,Πελοποννήσου,ΑΡΓΟΛΙΔΑΣ,Αργολίδας,Argolis,97044,37.6525,22.8582,Ναύπλιο,4.0,,,,,
Πελοπόννησος,Πελοποννήσου,ΑΡΚΑΔΙΑΣ,Αρκαδίας,Arcadia,86685,37.46442,22.32766,Τρίπολη,4.0,,,,,
Ήπειρος,Ηπείρου,ΑΡΤΑΣ,Άρτας,Arta,67877,39.1566939,20.9830924,Άρτα,3.0,,,,,
Πελοπόννησος,Δυτικής Ελλάδας,ΑΧΑΪΑΣ,Αχαϊας,Achaea,309694,38.246639,21.734573,Πάτρα,38.0,,4.0,,,
Στερεά Ελλάδα,Στερεάς Ελλάδας ,ΒΟΙΩΤΙΑΣ,Βοιωτίας,Boeotia,117920,,,Λιβαδειά,4.0,,,,,
Μακεδονία,Δυτικής Μακεδονίας,ΓΡΕΒΕΝΩΝ,Γρεβενών,Grevena,31757,,,Γρεβενά,,,,,,
Ελλάδα,Ελλάδα,ΔΟΜΕΣ ΦΙΛΟΞΕΝΙΑΣ,Δομές Φιλοξενίας,Facilities for refugees,,,,,172.0,,,,,
Μακεδονία,Ανατολικής Μακεδονίας & Θράκης ,ΔΡΑΜΑΣ,Δράμας,Drama,98287,,,Δράμα,,,,,,
Αττική,Αττικής,ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,Δ. Αττικής,West Attica,160927,,,,5.0,,3.0,,,
Νησιά Αιγαίου Πελάγους,Νοτίου Αιγαίου,ΔΩΔΕΚΑΝΗΣΩΝ,Δωδεκανήσου,Dodecanese,190988,35.5066,27.2124,Ρόδος,2.0,,,,,
