Γεωγραφικό Διαμέρισμα,Περιφέρεια,county_normalized,county,pop_11,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20
Αττική,Αττικής,ΑΓΙΟ ΟΡΟΣ,Άγιο Όρος,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Αττική,Αττικής,ΑΘΗΝΩΝ,Αθηνών,2641511,,1,2,2,4,4,4,4,4,5,12,21,21,22,25,27,27,90,90,90,90,118,121,213,213,292,292,366,366,442,442,442,442,641,641,641,641,641,641,641,641,965,965,965,965,965,965,965,965,965,965,965,965,965,965,965
Στερεά Ελλάδα,Δυτικής Ελλάδας,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,Αιτωλοακαρνανίας,210802,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Αττική,Αττικής,ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,Αν. Αττικής,502348,,,,,,,,,,,,,,,,,,,,,,,,15,15,25,25,29,29,39,39,39,39,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57
Ελλάδα,Ελλάδα,ΕΛΛΑΔΑ,Απροσδιόριστος,,,,,,,,,,21,28,28,36,36,39,45,61,134,71,174,195,230,191,228,129,164,136,207,133,225,171,245,340,435,164,246,327,353,422,482,544,564,317,369,438,472,539,572,603,628,650,665,682,693,693,702,708
Ελλάδα,Ελλάδα,ΡΙΤΣΩΝΑ,Ριτσώνα ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
Ελλάδα,Ελλάδα,ΚΡΟΥΑΖΙΕΡΟΠΛΟΙΟ,Κρουαζιερόπλοιο,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,40,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119
Πελοπόννησος,Πελοποννήσου,ΑΡΓΟΛΙΔΑΣ,Αργολίδας,97044,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,153
Πελοπόννησος,Πελοποννήσου,ΑΡΚΑΔΙΑΣ,Αρκαδίας,86685,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Ήπειρος,Ηπείρου,ΑΡΤΑΣ,Άρτας,67877,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Πελοπόννησος,Δυτικής Ελλάδας,ΑΧΑΪΑΣ,Αχαϊας,309694,,,,,,,,,,,,,,,,,,9,9,9,9,9,9,9,9,11,11,11,11,11,11,11,11,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
Στερεά Ελλάδα,Στερεάς Ελλάδας ,ΒΟΙΩΤΙΑΣ,Βοιωτίας,117920,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Μακεδονία,Δυτικής Μακεδονίας,ΓΡΕΒΕΝΩΝ,Γρεβενών,31757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Μακεδονία,Ανατολικής Μακεδονίας & Θράκης ,ΔΡΑΜΑΣ,Δράμας,98287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Αττική,Αττικής,ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,Δυτ. Αττικής,160927,,,,,,,,,,,,,,,,,,,,,,,,2,2,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Νησιά Αιγαίου Πελάγους,Νοτίου Αιγαίου,ΔΩΔΕΚΑΝΗΣΩΝ,Δωδεκανήσου,190988,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Θράκη,Ανατολικής Μακεδονίας & Θράκης,ΕΒΡΟΥ,Έβρου,147947,,,,,,,,,,,,,,,,,,,,,,2,4,4,4,7,7,7,7,9,9,9,9,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Στερεά Ελλάδα,Στερεάς Ελλάδας ,ΕΥΒΟΙΑΣ,Ευβοίας,210815,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Στερεά Ελλάδα,Στερεάς Ελλάδας ,ΕΥΡΥΤΑΝΙΑΣ,Ευρυτανίας,20081,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Νησιά Ιονίου Πελάγους,Ιονίων Νήσων,ΖΑΚΥΝΘΟΥ,Ζακύνθου,40759,,,,,,,,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Πελοπόννησος,Δυτικής Ελλάδας,ΗΛΕΙΑΣ,Ηλείας,159300,,,,,,,,1,2,4,17,17,17,17,17,17,17,40,40,40,40,41,41,41,41,43,43,43,43,43,43,43,43,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46
