Περιφέρεια,Region,Population_2011,20/04/2020,21/04/2020,22/04/2020,23/04/2020,24/04/2020,25/04/2020,26/04/2020,27/04/2020,28/04/2020,29/04/2020,30/04/2020,01/05/2020,02/05/2020,03/05/2020,04/05/2020,05/05/2020,06/05/2020,07/05/2020,08/05/2020,09/05/2020,10/05/2020,11/05/2020,12/05/2020,13/05/2020,14/05/2020,15/05/2020,16/05/2020,17/05/2020,18/05/2020,19/05/2020,20/05/2020,21/05/2020,22/05/2020,23/05/2020,24/05/2020,25/05/2020,26/05/2020,27/05/2020,28/05/2020,29/05/2020,30/05/2020,31/05/2020,01/06/2020,02/06/2020,03/06/2020,04/06/2020,07/06/2020,08/06/2020,09/06/2020,10/06/2020,11/06/2020,12/06/2020,13/06/2020,14/06/2020,15/06/2020,16/06/2020,17/06/2020,18/06/2020,19/06/2020,20/06/2020,21/06/2020,22/06/2020,23/06/2020,24/06/2020,25/06/2020,26/06/2020,27/06/2020,28/06/2020,29/06/2020,30/06/2020,01/07/2020,02/07/2020,03/07/2020,04/07/2020,05/07/2020,06/07/2020,07/07/2020,08/07/2020,09/07/2020,10/07/2020,11/07/2020,12/07/2020,13/07/2020,14/07/2020,15/07/2020,16/07/2020,17/07/2020,18/07/2020,19/07/2020,20/07/2020,21/07/2020,22/07/2020,23/07/2020,24/07/2020,25/07/2020,27/07/2020,28/07/2020,29/07/2020,30/07/2020,31/07/2020,01/08/2020,02/08/2020,03/08/2020,04/08/2020,05/08/2020,06/08/2020,07/08/2020,08/08/2020,09/08/2020,10/08/2020,11/08/2020,12/08/2020,13/08/2020,14/08/2020,15/08/2020,16/08/2020,17/08/2020,18/08/2020,19/08/2020,20/08/2020,21/08/2020,22/08/2020,23/08/2020,24/08/2020,25/08/2020,26/08/2020,27/08/2020,30/08/2020,31/08/2020,01/09/2020,02/09/2020,03/09/2020,04/09/2020,05/09/2020,06/09/2020,07/09/2020,08/09/2020,09/09/2020,10/09/2020,11/09/2020,12/09/2020,13/09/2020,14/09/2020,15/09/2020,16/09/2020,17/09/2020,18/09/2020,19/09/2020,20/09/2020,21/09/2020,22/09/2020,24/09/2020,25/09/2020,26/09/2020,27/09/2020,28/09/2020,29/09/2020,30/09/2020,01/10/2020,02/10/2020
Ανατολική Μακεδονία και Θράκη,East Macedonia and Thrace,606170,72,72,72,73,76,76,76,82,82,83,84,84,88,88,88,91,91,91,91,91,91,99,99,102,102,102,102,102,102,102,105,105,105,105,105,105,105,109,109,109,114,114,114,114,122,122,142,164,164,169,185,185,197,203,211,211,272,292,292,297,305,309,326,330,333,333,336,342,354,357,367,367,384,384,384,397,415,415,429,429,443,443,459,462,462,464,464,469,470,470,467,470,471,475,475,480,480,485,485,485,485,525,525,525,558,558,558,558,558,558,558,642,650,658,658,685,703,703,702,702,702,712,718,729,734,741,741,760,772,780,780,788,796,796,797,794,794,794,794,798,798,798,798,798,812,812,812,812,812,812,812,812,812,812,812,812,812,812,803,803
Κεντρική Μακεδονία,Central Macedonia,1874590,172,173,173,176,176,176,176,181,181,181,182,182,184,184,184,184,184,184,184,184,184,185,186,188,188,188,188,188,188,188,190,190,190,189,189,189,189,191,191,191,191,191,191,191,192,192,193,193,193,193,193,193,199,199,199,199,201,202,202,203,205,205,208,209,210,210,211,212,212,213,214,214,215,215,215,226,242,242,262,262,297,297,315,330,330,340,340,348,353,353,361,367,378,393,398,406,406,419,419,419,419,510,510,510,602,602,602,602,602,602,602,947,1060,1108,1108,1278,1328,1366,1447,1447,1447,1652,1715,1736,1760,1798,1798,1922,2028,2066,2066,2168,2198,2198,2289,2333,2333,2333,2333,2527,2527,2527,2527,2527,2759,2759,2759,2759,2759,2759,2759,2759,2759,2759,2759,2759,2759,2759,2981,2981
Ήπειρος,Epirus,336650,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,18,25,25,26,26,29,31,31,31,31,31,31,31,31,31,32,32,32,32,35,35,35,36,36,36,36,39,39,39,37,37,37,37,37,37,37,37,37,37,37,37,37,37,39,39,39,39,39,39,39,50,49,50,50,55,58,58,59,59,59,68,69,71,73,74,74,82,88,96,96,107,111,111,119,119,119,119,119,134,134,134,134,134,142,142,142,142,142,142,142,142,142,142,142,142,142,142,225,225
Θεσσαλία,Thessaly,730730,61,61,61,64,69,69,69,70,70,76,77,77,81,81,81,81,81,81,81,81,81,83,86,102,102,102,102,102,102,102,140,143,143,162,162,162,162,162,173,173,175,175,174,174,174,174,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,187,188,188,188,190,190,190,196,198,198,198,198,200,200,200,200,200,201,201,204,205,205,205,207,208,209,209,211,211,213,213,213,213,223,223,223,234,234,234,234,234,234,234,324,342,358,358,376,382,392,397,397,397,421,441,459,462,468,468,482,499,501,501,511,512,512,524,535,535,535,535,574,574,574,574,574,603,603,603,603,603,603,603,603,603,603,603,603,603,603,806,806
Ιόνιοι Νήσοι,Ionian Islands,206470,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,21,21,24,24,32,32,38,40,40,40,40,43,43,43,45,46,52,54,54,58,58,61,61,61,61,78,78,78,97,97,97,97,97,97,97,127,127,130,130,144,147,149,150,150,150,163,166,167,185,187,187,199,209,213,213,218,221,221,230,239,239,239,239,252,252,252,252,252,275,275,275,275,275,275,275,275,275,275,275,275,275,275,328,328
Δυτική Ελλάδα,West Greece,680190,83,83,83,84,84,84,84,84,84,83,83,83,84,84,84,84,84,84,84,84,84,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,84,84,84,84,84,84,84,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,86,88,88,88,88,88,89,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,92,92,97,97,101,101,101,101,105,105,105,105,105,105,105,105,105,105,113,114,117,117,125,126,133,136,136,136,139,143,149,150,153,153,155,155,165,165,167,169,169,173,179,179,179,179,179,179,179,179,179,190,190,190,190,190,190,190,190,190,190,190,190,190,190,224,224
Στερεά Ελλάδα,Central Greece,546870,67,67,67,68,70,70,70,73,73,73,74,74,74,74,74,74,74,74,74,74,74,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,74,74,74,74,74,74,74,75,75,77,80,80,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,86,86,88,88,89,89,96,97,97,97,97,98,98,98,98,99,99,99,99,103,103,104,104,104,104,110,110,110,116,116,116,116,116,116,116,127,131,134,134,143,147,152,153,153,153,169,172,172,172,176,176,179,183,187,187,200,203,203,214,227,227,227,227,263,263,263,263,263,285,285,285,285,285,285,285,285,285,285,285,285,285,285,347,347
Αττική,Attica,3812330,1334,1343,1343,1362,1401,1401,1401,1437,1437,1465,1472,1472,1488,1488,1488,1512,1512,1512,1512,1512,1512,1566,1574,1589,1589,1589,1589,1589,1589,1589,1625,1636,1636,1637,1637,1637,1637,1641,1641,1641,1640,1641,1642,1642,1653,1653,1659,1662,1668,1669,1673,1673,1674,1676,1679,1679,1683,1683,1683,1685,1686,1686,1689,1691,1691,1691,1694,1699,1701,1706,1716,1716,1717,1717,1717,1722,1733,1733,1743,1743,1751,1751,1768,1784,1784,1793,1793,1811,1821,1821,1826,1845,1853,1874,1886,1911,1911,1928,1928,1928,1928,2010,2010,2010,2082,2082,2082,2082,2082,2082,2082,2377,2430,2495,2495,2636,2712,2763,2860,2860,2860,3112,3198,3338,3386,3427,3427,3643,3862,3968,3968,4157,4276,4276,4431,4565,4565,4565,4565,4867,4867,4867,4867,4867,5579,5579,5579,5579,5579,5579,5579,5579,5579,5579,5579,5579,5579,5579,8043,8043
Πελοπόννησος,Peloponnese,581980,24,25,25,176,176,176,176,180,180,180,181,181,182,182,182,182,182,182,182,182,182,183,184,184,184,184,184,184,184,184,184,185,185,186,186,186,186,190,191,191,191,191,191,191,192,192,193,194,195,195,195,195,197,197,199,199,199,199,199,199,199,199,199,200,200,200,200,200,200,200,200,200,199,199,199,199,199,199,199,199,200,200,202,204,204,204,204,205,205,205,205,206,206,206,206,206,206,206,206,206,206,210,210,210,215,215,215,215,215,215,215,240,245,257,257,265,266,268,270,270,270,275,279,279,282,283,283,293,293,301,301,314,317,317,324,327,327,327,327,330,330,330,330,330,339,339,339,339,339,339,339,339,339,339,339,339,339,339,407,407
Βόρειο Αιγαίο,North Aegean,197810,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,10,10,10,10,10,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,19,19,19,19,19,19,19,19,19,20,20,20,20,20,20,21,24,24,24,24,24,24,24,24,25,25,25,27,27,27,33,33,33,33,34,34,34,36,36,36,36,36,36,36,56,56,61,61,66,69,73,73,73,73,93,95,109,115,127,127,154,179,182,182,192,194,194,201,207,207,207,207,256,256,256,256,256,290,290,290,290,290,290,290,290,290,290,290,290,290,290,630,630
