area_gr,area_en,region_gr,region_en,geo_department_gr,geo_department_en,last_updated_at,longtitude,latitude,population,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/1/20,8/2/20,8/3/20,8/4/20,8/5/20,8/6/20,8/7/20,8/8/20,8/9/20,8/10/20,8/11/20,8/12/20,8/13/20,8/14/20,8/15/20,8/16/20,8/17/20,8/18/20,8/19/20,8/20/20,8/21/20,8/22/20,8/23/20,8/24/20,8/25/20,8/26/20,8/27/20,8/28/20,8/29/20,8/30/20,8/31/20,9/1/20,9/2/20,9/3/20,9/4/20,9/5/20,9/6/20,9/7/20,9/8/20,9/9/20,9/10/20,9/11/20,9/12/20,9/13/20,9/14/20,9/15/20,9/16/20,9/17/20,9/18/20,9/19/20,9/20/20,9/21/20,9/22/20,9/23/20,9/24/20,9/25/20,9/26/20,9/27/20,9/28/20,9/29/20,9/30/20,10/1/20,10/2/20,10/3/20,10/4/20,10/5/20,10/6/20,10/7/20,10/8/20,10/9/20,10/10/20,10/11/20,10/12/20,10/13/20,10/14/20,10/15/20,10/16/20,10/17/20,10/18/20,10/19/20,10/20/20,10/21/20,10/22/20,10/23/20,10/24/20,10/25/20,10/26/20,10/27/20,10/28/20,10/29/20,10/30/20,10/31/20,11/1/20,11/2/20,11/3/20,11/4/20,11/5/20,11/6/20,11/7/20,11/8/20,11/9/20,11/10/20,11/11/20,11/12/20,11/13/20,11/14/20,11/15/20,11/16/20,11/17/20,11/18/20,11/19/20,11/20/20,11/21/20,11/22/20,11/23/20,11/24/20,11/25/20,11/26/20,11/27/20,11/28/20,11/29/20,11/30/20,12/1/20,12/2/20,12/3/20,12/4/20,12/5/20,12/6/20,12/7/20,12/8/20,12/9/20,12/10/20,12/11/20,12/12/20,12/13/20,12/14/20,12/15/20,12/16/20,12/17/20,12/18/20,12/19/20,12/20/20,12/21/20,12/22/20,12/23/20,12/24/20,12/25/20,12/26/20,12/27/20,12/28/20,12/29/20,12/30/20,12/31/20,1/1/21,1/2/21,1/3/21,1/4/21,1/5/21,1/6/21,1/7/21,1/8/21,1/9/21,1/10/21,1/11/21,1/12/21,1/13/21,1/14/21,1/15/21,1/16/21,1/17/21,1/18/21,1/19/21,1/20/21,1/21/21,1/22/21,1/23/21,1/24/21,1/25/21,1/26/21,1/27/21,1/28/21,1/29/21,1/30/21,1/31/21,2/1/21,2/2/21,2/3/21,2/4/21,2/5/21,2/6/21,2/7/21,2/8/21,2/9/21,2/10/21,2/11/21,2/12/21,2/13/21,2/14/21,2/15/21,2/16/21,2/17/21,2/18/21,2/19/21,2/20/21,2/21/21,2/22/21,2/23/21,2/24/21,2/25/21,2/26/21,2/27/21,2/28/21,3/1/21,3/2/21,3/3/21,3/4/21,3/5/21,3/6/21,3/7/21,3/8/21,3/9/21,3/10/21,3/11/21,3/12/21,3/13/21,3/14/21
ΑΓΙΟ ΟΡΟΣ,Mount Athos,Άγιον Όρος,Mount Athos,Αττική,Attica,2021-03-15,24.215273100000005,40.26449279999999,1811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,Aetolia-Acarnania,Δυτικής Ελλάδας,Western Greece,Στερεά Ελλάδα,Central Greece,2021-03-15,21.3798928,38.7084386,210802,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,4,5,5,7,7,7,9,9,12,12,12,12,12,12,12,12,12,14,14,14,15,16,17,22,25,27,28,30,33,33,34,35,37,37,37,37,37,38,38,38,38,38,38,40,41,42,43,44,45,46,46,48,50,52,53,54,60,67,71,82,82,83,83,87,89,94,94,95,95,98,102,114,116,118,118,119,123,127,131,137,143,145,148,149,155,157,176,195,202,209,214,226,233,251,284,298,307,332,349,358,385,403,461,480,497,522,545,587,605,635,654,661,689,707,716,736,746,763,774,794,809,820,842,849,858,861,865,871,880,897,909,928,930,934,941,953,956,956,958,958,967,979,985,996,997,1003,1005,1013,1019,1020,1028,1036,1042,1052,1056,1070,1080,1084,1090,1097,1101,1105,1107,1116,1130,1145,1155,1161,1168,1173,1180,1196,1204,1213,1215,1221,1226,1236,1244,1245,1247,1251,1256,1272,1285,1300,1314,1319,1326,1338,1345,1352,1371,1413,1430,1440,1470,1497,1520,1555,1573,1605,1623,1643,1694,1721,1758,1787,1795,1808,1841,1858,1881,1911,1930,1942
ΑΡΓΟΛΙΔΑΣ,Argolis,Πελοποννήσου,Peloponnese,Πελοπόννησος,Peloponnese,2021-03-15,22.858217,37.6525404,97044,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,155,155,155,157,157,161,161,169,173,175,177,177,177,177,178,178,180,180,180,181,182,182,183,183,183,183,184,184,185,185,187,188,188,188,189,190,191,192,193,195,196,196,197,197,197,197,198,203,207,209,209,209,209,210,210,210,211,212,212,212,214,215,216,216,216,216,216,216,217,218,218,219,221,224,225,229,232,235,236,237,240,243,243,244,245,247,248,249,251,254,256,257,259,261,269,271,284,288,292,297,299,303,305,307,309,311,315,315,316,316,317,317,319,323,329,329,337,345,349,350,367,368,371,373,382,389,393,399,402,402,404,405,405,407,408,408,409,410,410,412,414,414,415,415,417,426,427,430,434,443,447,455,459,463,489,492,503,506,509,513,516,527,531,533,534,536,540,541,543,543,543,543,543,548,551,556,560,562,562,562,568,570,577,579,585,592,595,608,614,633,642,650,655,662,686,712,722,738,756,757,767,784,796,815,847,863,886,911,947,996,1032,1069,1097,1109,1116,1144,1174,1196,1226,1252,1262
ΑΡΚΑΔΙΑΣ,Arcadia,Πελοποννήσου,Peloponnese,Πελοπόννησος,Peloponnese,2021-03-15,22.333776899999997,37.5557825,86685,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,6,7,7,7,7,7,7,7,9,9,9,9,10,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,21,21,21,21,21,21,21,21,21,22,22,22,22,24,24,24,24,24,25,25,25,25,25,25,25,25,25,25,25,25,25,28,28,34,34,39,42,47,50,52,60,69,71,75,91,94,99,100,100,107,114,121,125,132,145,149,150,152,164,178,184,187,189,191,193,200,209,209,217,219,227,237,251,256,261,261,263,263,292,295,296,300,304,307,307,307,311,313,314,320,322,326,327,330,333,333,334,336,338,339,343,349,355,357,360,365,372,376,380,383,383,385,387,388,388,390,391,393,394,398,399,403,407,411,415,415,419,426,431,432,435,444,447,450,452,453,457,462,464,470,472,479,482,492,494,500,509,515,526,532,548,570,595,616,624,660,688,714,726,729,738,753,767,777,785,805,816,828,833,848,868,882,900,920,937
ΑΡΤΑΣ,Arta,Ηπείρου,Epirus,Ήπειρος,Epirus,2021-03-15,20.987683899999997,39.1582421,67877,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,6,6,6,6,6,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,15,15,15,16,16,16,16,16,16,16,16,16,17,19,19,20,21,21,21,21,21,24,25,25,30,32,33,33,37,40,40,41,43,48,56,59,69,72,79,85,89,95,105,109,120,121,125,137,141,146,154,162,167,170,182,189,201,204,205,211,215,220,221,221,223,224,226,228,229,232,235,237,238,240,244,246,246,248,250,250,250,250,250,251,252,252,252,253,253,253,258,258,259,259,259,259,259,259,259,259,259,259,259,260,260,260,260,262,262,262,262,264,264,264,264,264,264,264,264,264,264,264,264,264,264,266,266,266,266,266,269,272,272,275,277,281,285,286,288,293,299,306,310,317,329,336,354,365,379,382,390,399,410,420,437,451,457,459,466,476,476,480,487,492
ΑΤΤΙΚΗΣ,Attica,Αττικής,Attica,Αττική,Attica,2021-03-15,23.8584737,38.0457568,3828434,0.0,1.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,5.0,12.0,21.0,21.0,22.0,25.0,27.0,27.0,90.0,90.0,90.0,90.0,118.0,121.0,249.0,249.0,343.0,343.0,428.0,428.0,517.0,517.0,517.0,517.0,759.0,759.0,759.0,759.0,759.0,759.0,759.0,759.0,1083.0,1083.0,1083.0,1083.0,1083.0,1083.0,1083.0,1083.0,1083.0,1083.0,1083.0,1083.0,1083.0,1083.0,1083.0,1083.0,1083.0,1083.0,1083.0,1083.0,1083.0,1083.0,1083.0,1083.0,1083.0,1083.0,1496.0,1496.0,1496.0,1496.0,1496.0,1496.0,1496.0,1496.0,1496.0,1496.0,1496.0,1496.0,1496.0,1496.0,1496.0,1496.0,1496.0,1496.0,1496.0,1496.0,1496.0,1496.0,1496.0,1496.0,1496.0,1496.0,1496.0,1496.0,1496.0,1496.0,1496.0,1496.0,1496.0,1496.0,1496.0,1496.0,1496.0,1496.0,1496.0,1496.0,1496.0,1496.0,1496.0,1499,1501,1503,1503,1503,1504,1504,1505,1507,1508,1508,1510,1511,1512,1512,1514,1515,1515,1515,1517,1517,1518,1522,1523,1530,1537,1546,1552,1554,1562,1570,1580,1583,1592,1594,1596,1613,1619,1630,1638,1647,1654,1671,1685,1703,1714,1738,1757,1776,1804,1830,1852,1892,1938,1964,2002,2040,2122,2189,2253,2351,2398,2471,2517,2615,2704,2794,2870,2961,3102,3153,3198,3301,3408,3520,3574,3624,3731,3828,3915,4033,4119,4187,4238,4339,4404,4502,4635,4793,4926,5046,5148,5345,5519,5731,5895,5994,6083,6257,6467,6661,6874,7037,7202,7320,7517,7757,7952,8224,8431,8554,8651,8818,9031,9225,9444,9605,9770,9911,10056,10226,10427,10634,10861,11068,11232,11407,11657,11988,12278,12568,12796,13023,13283,13578,13997,14332,14754,15218,15518,15880,16422,17010,17598,18090,18727,19123,19513,20101,20736,21492,22189,22801,23206,23698,24211,24775,25421,26003,26385,26603,26855,27256,27639,28047,28366,28639,28886,29141,29554,29929,30263,30579,30839,31003,31253,31556,31921,32239,32534,32790,32959,33143,33413,33694,33945,34193,34416,34589,34725,34967,35229,35535,35752,35805,35910,36100,36427,36774,37139,37349,37460,37585,37785,38111,38480,38669,38926,39227,39399,39579,39944,40221,40449,40636,40851,40945,41084,41340,41570,41804,42052,42308,42470,42677,43104,43513,43826,44352,44736,44958,45223,45875,46487,47020,47578,48143,48503,48824,49574,50369,51045,51807,52390,52722,53050,53588,53819,54506,55247,55927,56364,56760,57807,58676,59556,60346,61161,61752,62305,63464,64733,65784,66841,67994,68563,69119,70691,72013,73295,74432,75612,76446
ΑΧΑΪΑΣ,Achaea,Δυτικής Ελλάδας,Western Greece,Πελοπόννησος,Peloponnese,2021-03-15,21.9522491,38.1158729,309694,,,,,,,,,,,,,,,,,,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,40,40,40,43,45,49,50,52,52,53,53,53,54,54,56,58,58,58,59,59,59,60,64,64,64,67,69,69,69,69,73,78,78,80,82,82,87,88,88,89,91,91,93,95,96,101,101,101,101,101,103,104,104,105,109,110,111,113,117,117,117,122,126,127,130,136,137,139,144,153,162,162,173,179,185,197,208,217,225,230,239,244,245,250,254,261,268,274,278,284,294,303,315,319,325,341,359,369,382,396,405,437,458,476,498,517,540,562,580,605,625,647,678,704,726,750,780,814,846,898,927,946,974,997,1027,1056,1073,1095,1122,1138,1156,1170,1193,1210,1223,1233,1241,1253,1263,1287,1323,1335,1351,1358,1365,1387,1412,1425,1434,1449,1457,1459,1478,1488,1499,1517,1519,1524,1532,1542,1558,1576,1587,1589,1604,1608,1618,1630,1644,1648,1695,1697,1721,1731,1753,1775,1791,1809,1814,1820,1837,1859,1878,1896,1920,1924,1943,1972,1989,2026,2061,2090,2113,2156,2220,2302,2383,2461,2539,2610,2649,2746,2858,2952,3047,3112,3171,3233,3303,3364,3461,3565,3630,3709,3774,3895,3993,4096,4218,4282,4326,4407,4519,4697,4799,4906,5012,5047,5126,5275,5359,5490,5577,5682,5742
ΒΟΙΩΤΙΑΣ,Boeotia,Στερεάς Ελλάδας και Εύβοιας,Central Greece,Στερεά Ελλάδα,Central Greece,2021-03-15,23.0965064,38.3663664,117920,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,7,8,8,8,9,12,13,13,13,13,13,13,13,14,15,15,16,16,16,17,17,17,18,18,18,18,18,18,18,18,19,20,21,21,22,22,22,22,22,23,24,25,25,32,32,33,33,34,35,37,37,37,38,39,39,39,39,39,39,39,43,46,51,51,52,54,58,67,67,67,67,68,70,73,79,81,81,84,87,95,100,104,104,114,115,119,149,159,166,168,173,173,179,183,189,192,201,205,207,208,215,229,237,248,252,253,257,272,289,307,317,342,346,350,365,374,384,399,405,415,418,440,455,460,463,480,483,487,498,510,517,531,556,569,585,597,603,626,628,636,637,638,647,652,658,670,672,674,688,693,705,710,718,720,721,722,734,750,769,777,777,790,799,835,858,870,895,906,910,918,947,966,982,995,1008,1010,1013,1029,1040,1050,1066,1071,1080,1080,1093,1103,1111,1122,1132,1136,1137,1150,1158,1169,1176,1193,1202,1205,1226,1252,1275,1290,1307,1316,1317,1321,1322,1337,1360,1378,1382,1387,1403,1424,1436,1460,1477,1481,1486,1509,1530,1548,1574,1598,1605,1610,1643,1666,1701,1738,1814,1838
ΓΡΕΒΕΝΩΝ,Grevena,Δυτικής Μακεδονίας,Western Macedonia,Μακεδονία,Macedonia,2021-03-15,21.4273299,40.0837626,31757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,7,7,8,8,8,9,10,10,10,11,12,13,14,15,15,15,17,17,17,18,19,19,19,19,21,22,23,25,26,27,27,29,29,32,32,32,32,32,32,32,35,36,36,36,37,39,39,41,41,41,41,41,41,41,41,41,41,43,43,44,46,46,48,48,50,51,53,54,58,63,80,82,90,96,115,133,157,174,212,250,280,299,325,331,349,354,396,409,424,446,461,474,483,488,505,516,532,545,550,554,572,578,593,604,608,617,619,626,634,637,642,646,649,652,655,655,660,663,663,665,665,665,667,668,669,669,669,670,670,672,672,673,674,675,675,675,675,675,675,675,675,676,676,677,677,677,677,677,678,679,679,679,679,679,679,679,679,679,679,679,679,679,682,682,683,683,683,685,687,687,687,690,690,692,693,694,695,696,702,708,709,716,719,721,721,721,726,729,731,731,732,734,734,735,738,742,747,749
ΔΡΑΜΑΣ,Drama,Ανατολικής Μακεδονίας Θράκης,Eastern Macedonia and Thrace,Μακεδονία,Macedonia,2021-03-15,24.146948899999998,41.1502273,98287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,6,6,6,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,10,10,11,11,12,12,12,12,12,12,15,17,17,17,18,20,21,21,23,23,23,28,29,29,31,31,31,31,35,35,36,36,37,37,37,37,37,41,41,41,41,41,44,44,44,44,44,44,44,44,44,44,44,44,46,46,47,47,47,51,52,52,52,52,54,56,56,56,57,59,59,60,60,60,62,62,64,64,66,72,86,99,99,117,151,175,208,262,352,411,457,542,704,804,955,986,1010,1062,1110,1208,1232,1315,1344,1491,1578,1673,1785,1847,1902,1949,1968,2001,2060,2084,2124,2181,2245,2262,2343,2413,2488,2521,2551,2578,2605,2636,2671,2741,2766,2784,2787,2804,2818,2833,2853,2861,2872,2879,2887,2897,2904,2908,2916,2917,2921,2921,2930,2936,2945,2946,2946,2951,2951,2957,2960,2962,2964,2968,2968,2969,2976,2979,2981,2982,2982,2982,2982,2983,2983,2984,2984,2984,2985,2985,2985,2985,2988,2991,2991,2991,2991,2994,2996,2997,2998,2999,3003,3003,3007,3008,3013,3017,3020,3020,3023,3024,3026,3030,3031,3037,3037,3037,3040,3042,3044,3045,3048,3049,3050,3054,3057,3059,3063,3064,3065,3070,3076,3079,3080,3083,3087,3089
