Σχολείο/Δομή,Περιοχή,Διεύθυνση,Αναστολή έως και,Παρατηρήσεις:
ΙΙΕΚ ΕΛΛΗΝΙΚΗ ΒΙΟΤΕΧΝΙΚΗ ΕΤΑΙΡΕΙΑ- ΔΙΠΛΑΡΕΙΟΣ ΣΧΟΛΗ ΙΕΚ,ΑΘΗΝΑΙΩΝ,ΠΛΑΤΕΙΑ ΘΕΑΤΡΟΥ 3 ΟΜΟΝΟΙΑ,06-11-2020,Αναστέλλει τη λειτουργία του το ΣΔΟΤ Α ΕΙΔΙΚΟΤΗΤΑΣ ΣΤΕΛΕΧΟΣ ΔΙΟΙΚΗΣΗΣ ΚΑΙ ΟΙΚΟΝΟΜΙΑΣ ΣΤΟΝ ΤΟΜΕΑ ΤΟΥ ΤΟΥΡΙΣΜΟΥ 
ΙΕΚ ΕΛΛΗΝΙΚΟΥ- ΑΡΓΥΡΟΥΠΟΛΗΣ,ΕΛΛΗΝΙΚΟΥ - ΑΡΓΥΡΟΥΠΟΛΗΣ,"ΕλευθερίουΒενιζέλου 2-4 και Βουλιαγμένης, έξοδος Σ",08-11-2020,Αναστέλλει τη λειτουργία του το Α ΕΞΑΜΗΝΟΥ ΕΙΔΙΚΟΤΗΤΑΣ ΒΟΗΘΟΣ ΕΡΓΟΘΕΡΑΠΕΙΑΣ 
AMERICAN COMMUNITY SCHOOLS OF ΑTHENS (ΛΥΚΕΙΟ),ΧΑΛΑΝΔΡΙΟΥ,ΑΓ. ΠΑΡΑΣΚΕΥΗΣ 129 & ΚΑΖΑΝΤΖΑΚΗ,06-11-2020,"Αναστέλλουν τη λειτουργία τους : ΤΑΞΗ 11:STEAM 1, DRAMA 1, HEART OF MATH, PERSPECTIVE IN LITERATURE, EARTH AND BEYOND: ASTRONOMY & SPANISH 1 IB ABINITIO"
AMERICAN COMMUNITY SCHOOLS OF ΑTHENS (ΓΥΜΝΑΣΙΟ),ΧΑΛΑΝΔΡΙΟΥ,ΑΓ. ΠΑΡΑΣΚΕΥΗΣ 129 & ΚΑΖΑΝΤΖΑΚΗ,06-11-2020,"Αναστέλλουν τη λειτουργία τους: ΤΑΞΗ 7: EFL 2 LA, EFL 2LD, EFL 2 SCIENCE, PE 7, COMP 7 FTHRG, ADVISORY & PRE ALGEBRA 7"
29ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΕΡΙΣΤΕΡΙΟΥ,ΠΕΡΙΣΤΕΡΙΟΥ,ΑΚΑΡΝΑΝΙΑΣ 65,04-11-2020,Αναστέλλει τη λειτουργίσ της η Γ τάξη
1ο ΗΜΕΡΗΣΙΟ ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΠΕΤΡΟΥΠΟΛΗΣ,ΠΕΤΡΟΥΠΟΛΕΩΣ,ΑΝΑΤΟΛ. ΡΩΜΥΛΙΑΣ 116 - 118  & ΘΕΣΣΑΛΙΑΣ,06-11-2020,Αναστέλλει τη λειτουργία του το Γ5
ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΓΙΑΝΝΑΔΩΝ,ΚΕΡΚΥΡΑΣ,ΓΙΑΝΝΑΔΕΣ,03-11-2020,Αναστέλλει τη λειτουργία της η Α τάξη
9ο ΓΥΜΝΑΣΙΟ ΠΕΡΙΣΤΕΡΙΟΥ,ΠΕΡΙΣΤΕΡΙΟΥ,ΑΡΓΥΡΟΚΑΣΤΡΟΥ 6,05-11-2020,"Αναστέλλει τη λειτουργία του το Γ1 εώς και 4/11/2020 και τα Γ2, Γ3 & Γ5 έως και 5/11/2020 "
22ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΕΙΡΑΙΑΣ,ΠΕΙΡΑΙΩΣ,Λ.ΧΑΤΖΗΚΥΡΙΑΚΟΥ 2,06-11-2020,
24ο ΝΗΠΙΑΓΩΓΕΙΟ ΠΕΙΡΑΙΑ,ΠΕΙΡΑΙΩΣ,ΧΑΤΖΗΚΥΡΙΑΚΟΥ 2,06-11-2020,
