Date,New confirmed cases,New deaths,Total recoveries,In intensive care (total),Cumulative tests performed,Active cases
2020-02-26,1,0,0,0,,1
2020-02-27,2,0,0,0,,3
2020-02-28,1,0,0,0,,4
2020-02-29,3,0,0,0,,7
2020-03-01,0,0,0,0,,7
2020-03-02,0,0,0,0,,7
2020-03-03,0,0,0,0,270,7
2020-03-04,2,0,0,1,,9
2020-03-05,22,0,0,1,,31
2020-03-06,14,0,0,2,,45
2020-03-07,21,0,0,2,,66
2020-03-08,7,0,0,2,,73
2020-03-09,11,0,0,3,,84
2020-03-10,5,0,0,4,,89
2020-03-11,10,0,0,6,,99
2020-03-12,18,1,2,6,2180,114
2020-03-13,73,0,2,9,2700,187
2020-03-14,38,2,8,9,3400,217
2020-03-15,103,1,10,11,,317
2020-03-16,21,0,10,16,4320,338
2020-03-17,35,1,14,18,4900,368
2020-03-18,31,0,14,24,6000,399
2020-03-19,46,1,19,29,6300,439
2020-03-20,31,3,19,33,7172,467
2020-03-21,35,4,19,36,7830,498
2020-03-22,94,2,19,45,8006,590
2020-03-23,71,2,29,49,8644,649
2020-03-24,48,3,32,54,9071,691
2020-03-25,78,2,36,59,10495,763
2020-03-26,71,4,42,61,,824
2020-03-27,74,2,52,70,13477,886
2020-03-28,95,4,52,71,14363,977
2020-03-29,95,6,52,69,15151,1066
2020-03-30,56,5,52,72,15961,1117
2020-03-31,102,6,52,85,16732,1213
2020-04-01,101,1,52,90,17350,1313
2020-04-02,129,3,61,91,18844,1430
2020-04-03,69,6,78,92,22437,1476
2020-04-04,60,9,78,92,23333,1527
2020-04-05,62,5,78,93,25453,1584
2020-04-06,20,6,269,90,26193,1407
2020-04-07,77,2,269,90,28584,1482
2020-04-08,52,2,269,84,32528,1532
2020-04-09,71,3,269,79,33634,1600
2020-04-10,56,4,269,77,35432,1652
2020-04-11,70,3,269,75,37344,1719
2020-04-12,33,5,269,76,42261,1747
2020-04-13,31,1,269,73,43417,1777
2020-04-14,25,2,269,76,48798,1800
2020-04-15,22,1,269,72,50771,1821
2020-04-16,15,3,269,69,49390,1833
2020-04-17,17,3,269,71,51645,1847
2020-04-18,11,2,269,67,53290,1856
2020-04-19,3,3,269,,,1856
2020-04-20,7,3,269,61,54344,1860
2020-04-21,156,5,577,59,55666,1703
2020-04-22,7,0,577,55,56944,1710
2020-04-23,55,4,577,52,59241,1761
2020-04-24,27,5,577,48,61407,1783
2020-04-25,16,0,577,47,63087,1799
2020-04-26,11,4,577,46,64608,1806
2020-04-27,17,2,577,43,66094,1821
2020-04-28,32,2,577,40,69833,1851
2020-04-29,10,1,577,41,72130,1860
2020-04-30,15,1,1374,38,75170,1077
2020-05-01,21,0,1374,36,77251,1098
2020-05-02,8,3,1374,37,78207,1103
2020-05-03,6,1,1442,37,79332,1040
2020-05-04,6,2,,35,80951,
2020-05-05,10,0,,35,83750,
2020-05-06,21,1,,36,87052,
2020-05-07,15,1,,33,90043,
2020-05-08,13,2,,32,94291,
2020-05-09,19,1,,28,97384,
2020-05-10,6,0,,30,98877,
2020-05-11,10,0,,32,99363,
2020-05-12,18,1,,32,106054,
2020-05-13,16,3,,28,112042,
2020-05-14,10,1,,24,116233,
2020-05-15,40,4,,23,120015,
2020-05-16,9,2,,23,126283,
2020-05-17,15,1,,22,128525,
2020-05-18,2,2,,24,131684,
2020-05-19,4,0,,22,136001,
2020-05-20,10,1,,22,139445,
2020-05-21,3,2,,21,144078,
2020-05-22,21,1,,19,147958,
2020-05-23,3,2,,20,152998,
2020-05-24,2,0,,19,153963,
2020-05-25,4,1,,18,155037,
2020-05-26,10,1,,18,160991,
2020-05-27,18,0,,17,166245,
2020-05-28,3,2,,16,170467,
2020-05-29,5,0,,16,174844,
2020-05-30,7,0,,14,178316,
2020-05-31,2,0,,13,180518,
2020-06-01,2,4,,12,182423,
2020-06-02,19,0,,11,185590,
2020-06-03,15,1,1442,9,193929,
2020-06-04,15,1,1442,9,193929,
2020-06-05,97,2,1442,10,229519,
2020-06-06,97,2,1442,10,229519,
2020-06-07,97,2,1442,10,229519,
2020-06-08,97,2,1442,10,229519,
2020-06-09,9,1,,10,231759,
2020-06-10,11,0,,12,240924,
2020-06-11,20,0,,14,237276,
2020-06-12,20,0,,14,243867,
2020-06-13,4,0,,13,247452,
2020-06-14,9,0,,13,250923,
2020-06-15,13,1,,13,254854,
2020-06-16,15,1,,12,259736,
2020-06-17,55,2,,11,264930,
2020-06-18,24,1,,10,270338,
2020-06-19,10,1,,10,274711,
2020-06-20,19,1,,9,278895,
2020-06-21,10,0,,9,283146,
2020-06-22,21,0,,8,285989,
2020-06-23,16,0,,8,291187,
2020-06-24,8,0,,8,295639,
2020-06-25,13,1,,9,291840,
2020-06-26,22,0,,11,295851,
2020-06-27,23,0,,11,301144,
2020-06-28,10,0,,10,305137,
2020-06-29,15,0,,10,308392,
2020-06-30,20,1,,9,312775,
2020-07-01,23,0,,9,315982,
2020-07-02,28,0,,8,320427,
2020-07-03,28,0,,8,325451,
Total,3486,192,1442,8,325451,
